Cluster,CellType
0,T Cells
1,T Cells
2,Fibroblasts
3,Fibroblasts
4,Keratinocytes
5,Macrophages
6,Endothelial Cells
7,Macrophages
8,Fibroblasts
9,Fibroblasts
10,Keratinocytes
11,Langerhans
12,Fibroblasts
13,Macrophages
14,Pericytes
15,Natural Killers
16,Keratinocytes
17,Fibroblasts
18,Fibroblasts
19,Fibroblasts
20,B Cells
21,Keratinocytes
22,Melanocytes
23,T Cells
24,Pericytes
25,Fibroblasts
26,Endothelial Cells
27,Fibroblasts
28,Endothelial Cells
29,Endothelial Cells
30,Fibroblasts
31,Keratinocytes
32,T Cells
33,Keratinocytes
34,Nerves
35,Fibroblasts
36,Cycling Dendritic Cells
37,Keratinocytes
38,Mast Cells
39,Endothelial Cells
40,Keratinocytes
41,Endothelial Cells
