p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.7302921297978886,0.554,0.209,0,0,RGCC
0,1.346665314086223,0.938,0.717,0,0,JUNB
0,1.2525991016127693,0.84,0.567,0,0,ZFP36
0,1.1864447952922217,0.346,0.086,0,0,SESN3
0,1.0906393167959547,0.935,0.66,0,0,ZFP36L2
0,1.082331669011656,0.29,0.062,0,0,PASK
0,1.0241422952752894,0.984,0.775,0,0,SARAF
0,0.989316648360929,0.91,0.464,0,0,LTB
0,0.975420974267629,0.863,0.485,0,0,LEPROTL1
0,0.912897975723931,0.47,0.195,0,0,RHBDD2
0,0.8855800578657411,0.388,0.137,0,0,CD5
0,0.8776628511958928,0.436,0.173,0,0,S1PR1
0,0.8634120218675148,0.572,0.277,0,0,ZNF331
0,0.8590705899516196,0.61,0.314,0,0,NR4A2
0,0.8463483243568655,0.522,0.278,0,0,NR3C1
0,0.8333317860884515,0.594,0.308,0,0,FAM177A1
0,0.8252302204591944,0.268,0.066,0,0,AP3M2
0,0.8156830151891483,0.608,0.369,0,0,DDIT4
0,0.8083363838940958,0.661,0.357,0,0,TNFAIP3
0,0.7940157813617552,0.508,0.238,0,0,CCR7
0,0.7771259802413704,0.607,0.253,0,0,IL7R
0,0.7602029853441233,0.338,0.132,0,0,ARID5B
0,0.7499012714281983,0.653,0.362,0,0,DNAJB1
0,0.7408275177781871,0.381,0.147,0,0,CAMK4
0,0.7307589754994774,0.257,0.094,0,0,GATA3
0,0.7180161799634159,0.455,0.209,0,0,FLT3LG
0,0.714125736841553,0.689,0.415,0,0,SELENOK
0,0.7118001316008322,0.26,0.091,0,0,SOCS1
0,0.7107096984572647,0.381,0.143,0,0,MAL
0,0.6961898793236097,0.466,0.229,0,0,CREM
0,0.6946640978929643,0.398,0.182,0,0,GPR183
0,0.6842286145103141,0.343,0.14,0,0,SFXN1
0,0.6800268576688824,0.295,0.123,0,0,SOCS3
0,0.6768578034085668,0.71,0.421,0,0,EZR
0,0.6714088263220896,0.615,0.319,0,0,SPOCK2
0,0.670841077107879,0.423,0.197,0,0,RNF125
0,0.6642620446523314,0.338,0.143,0,0,MTFP1
0,0.6604845017854903,0.791,0.548,0,0,CXCR4
0,0.6453759527240936,0.576,0.359,0,0,YPEL5
0,0.6315558268533823,0.632,0.403,0,0,ANKRD12
0,0.6234097001400261,0.958,0.826,0,0,PABPC1
0,0.6234025773477262,0.349,0.157,0,0,CD6
0,0.6231729900880676,0.594,0.35,0,0,SLC2A3
0,0.6081729373337148,0.809,0.506,0,0,LDHB
0,0.604963634764569,0.959,0.81,0,0,FXYD5
