p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.3319808125692978,0.882,0.588,0,0,ZFP36
0,1.292790390379099,1,0.993,0,0,FTH1
0,1.233095074985994,0.42,0.125,0,0,SESN3
0,1.1867875199732583,0.656,0.275,0,0,NR3C1
0,1.0647136620552429,0.381,0.106,0,0,RILPL2
0,1.03881924115489,0.76,0.423,0,0,EZR
0,0.9986634045628096,0.961,0.795,0,0,JUNB
0,0.9722861063894197,0.288,0.062,0,0,CDKN1A
0,0.9467852465344067,0.574,0.238,0,0,CREM
0,0.9023311763680353,0.654,0.338,0,0,NR4A2
0,0.8851988567247671,0.973,0.839,0,0,ZFP36L2
0,0.7951471358191227,0.868,0.62,0,0,CXCR4
0,0.6902990473390589,0.93,0.697,0,0,SRGN
0,0.5183840549635672,0.994,0.937,0,0,SARAF
8.191423843607225e-304,1.0565366351409282,0.516,0.245,2.9981430409986803e-299,0,RGCC
1.0138126714476554e-284,0.9231687563027717,0.338,0.121,3.7106557587655636e-280,0,PASK
7.921910647799382e-267,0.7345577422077679,0.277,0.086,2.899498516201052e-262,0,SAMSN1
1.3844665928385063e-255,0.7794117198231876,0.483,0.231,5.067286176448217e-251,0,MBP
8.691933208391189e-252,0.4980061718101183,0.974,0.885,3.1813344736032595e-247,0,PABPC1
1.538132972922781e-250,0.8813362499879148,0.252,0.076,5.62972049419467e-246,0,LMNA
3.1746782202876727e-247,0.46598372602118276,0.972,0.876,1.161963975407491e-242,0,FXYD5
9.334599145905803e-244,0.7185481517173302,0.592,0.318,3.416556633392983e-239,0,ZNF331
1.1472566933764052e-232,0.7482850287163767,0.515,0.268,4.199074223426981e-228,0,S1PR1
5.60579434800916e-221,0.710242914708207,0.53,0.283,2.0517767893148326e-216,0,RHBDD2
1.3081200218410032e-217,0.6286629338814909,0.695,0.443,4.7878500919402554e-213,0,EML4
8.086808804510498e-215,0.6954166569376314,0.581,0.335,2.959852890538887e-210,0,NINJ1
1.475505786263785e-214,0.7040013613520535,0.617,0.371,5.4004987283040794e-210,0,SLC2A3
2.4582810758913702e-210,0.6454764226935872,0.646,0.392,8.997554565870004e-206,0,FAM177A1
7.1989344224893915e-208,0.6802402404195683,0.377,0.166,2.634881987975342e-203,0,GABARAPL1
1.7614098979997204e-203,0.5818035153985752,0.788,0.576,6.446936367668777e-199,0,EMP3
1.5851247985158834e-181,0.6034762541008727,0.373,0.172,5.801715275047985e-177,0,ARID5B
4.730700124433208e-179,0.6285251926318622,0.293,0.121,1.7314835525437985e-174,0,AP3M2
4.370207197912733e-177,0.6751938940336122,0.297,0.124,1.5995395365080394e-172,0,SOCS1
1.002175122765551e-171,0.6851021603978108,0.312,0.137,3.668061166834193e-167,0,S100A11
1.3373531305335893e-171,0.7372842810703735,0.302,0.131,4.89484619306599e-167,0,AREG
4.324405311313753e-171,0.5333382548845078,0.726,0.498,1.5827755879939467e-166,0,SELENOK
4.40328162689244e-168,0.43162340643115904,0.987,0.953,1.611645108258902e-163,0,BTG1
9.84239426727295e-168,0.4774743862407296,0.69,0.444,3.6024147257645725e-163,0,PIK3R1
1.1136133959451208e-163,0.695549667747798,0.303,0.135,4.0759363904987367e-159,0,GATA3
3.312970455535952e-159,0.5973401885301002,0.379,0.189,1.2125803164307137e-154,0,CSRNP1
9.66473072935545e-159,0.6567227586691435,0.394,0.203,3.537388094251388e-154,0,GPR183
3.3245570660414305e-158,0.5333126814412017,0.697,0.478,1.216821131741824e-153,0,TNFAIP3
6.170107498251552e-157,0.48266591238159595,0.892,0.756,2.2583210454350503e-152,0,VIM
2.9287192836373055e-156,0.5810076217243622,0.333,0.156,1.0719405450040902e-151,0,USP36
4.318840824900475e-156,0.5963500200754597,0.354,0.174,1.580738930321823e-151,0,EIF3A
5.850244638139518e-155,0.5900397763323998,0.303,0.137,2.1412480400054452e-150,0,RALA
2.0205214264264248e-147,0.6365465944381805,0.659,0.456,7.395310472863357e-143,0,DDIT4
1.0780515766425797e-141,0.5551808050057263,0.48,0.278,3.945776575669506e-137,0,RNF125
5.566641998473598e-141,0.550944539791983,0.375,0.194,2.0374466378613214e-136,0,CNOT6L
6.292401944061036e-137,0.5414339910442867,0.453,0.258,2.3030820355457795e-132,0,LAPTM4A
2.1330748251018169e-134,0.4107710678636498,0.888,0.736,7.80726716735516e-130,0,LEPROTL1
1.2042057462482746e-132,0.2506800466054777,0.998,0.979,4.4075134518433095e-128,0,RPL36
5.167579769889621e-130,0.5794697635773081,0.439,0.256,1.8913858715773e-125,0,CD5
2.715945125133049e-129,0.5170636446705934,0.611,0.41,9.940630752499474e-125,0,FOXP1
3.716075404002538e-127,0.4397422909828803,0.747,0.549,1.360120758618969e-122,0,YWHAB
2.6015980616014905e-123,0.5072718814962134,0.463,0.273,9.522109065267615e-119,0,CD55
8.701029726376349e-121,0.4965128280063591,0.293,0.143,3.1846638901510075e-116,0,PPP1CB
3.387370993394607e-115,0.47478340437920274,0.44,0.259,1.2398116572923602e-110,0,PLP2
1.4173130480407744e-113,0.5083217090993972,0.38,0.216,5.187507487134039e-109,0,SOD2
5.337760394096122e-112,0.36856694475998353,0.496,0.303,1.9536736818431215e-107,0,ANXA1
4.000224721160739e-111,0.46990516265164306,0.665,0.481,1.464122250192042e-106,0,ANKRD12
9.538726601747588e-109,0.5284937137393264,0.394,0.23,3.4912693235056346e-104,0,PIM3
1.8255900175942173e-106,0.47705930220648507,0.385,0.22,6.681842023396595e-102,0,MTFP1
1.1790531362178355e-105,0.3870661670189999,0.674,0.476,4.3154523838709e-101,0,SPOCK2
1.3066500547862062e-102,0.47844234953766496,0.286,0.147,4.782469865522993e-98,0,RNF19A
1.4915090482680912e-101,0.5123551764392038,0.308,0.164,5.45907226756604e-97,0,JUND
1.585875270258796e-100,0.48438857353580145,0.305,0.162,5.804462076674219e-96,0,SOCS3
2.1206267001439572e-100,0.4758282221157659,0.381,0.223,7.761705785196898e-96,0,SFXN1
1.1494595503541494e-99,0.42117999959627395,0.557,0.367,4.2071369002512224e-95,0,RELB
1.6447644513727299e-97,0.4222186218956122,0.269,0.137,6.0200023684693285e-93,0,GSPT1
4.416353949705922e-97,0.46919930844711266,0.295,0.157,1.6164297091318644e-92,0,BIRC3
2.5194159284414876e-94,0.41966213576083955,0.292,0.154,9.22131423968869e-90,0,NFKB2
2.309216616457272e-92,0.4193812544312123,0.519,0.344,8.451963737895261e-88,0,RHOG
3.0522028428723237e-90,0.428415330269462,0.488,0.319,1.1171367625196991e-85,0,ARL4C
3.8958282932323366e-89,0.4553662698760361,0.348,0.202,1.4259121136059676e-84,0,SNHG15
7.675985969202888e-89,0.28743838689273593,0.661,0.467,2.809487624587949e-84,0,IL7R
1.245345674182339e-85,0.40311200798081837,0.42,0.26,4.558089702074779e-81,0,CHD1
