p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.1770832282833608,0.711,0.33,0,0,ZNF331
0,1.0320279406913353,0.315,0.072,0,0,LYPD3
0,0.8630857384642896,0.975,0.809,0,0,JUNB
0,0.63855608999968,0.994,0.942,0,0,SARAF
0,0.41692009109491934,1,0.998,0,0,RPS4X
5.610142355092198e-270,0.9409997323347674,0.701,0.367,2.0533682033872953e-265,0,CCR7
5.523875112621245e-253,0.36588755804068107,1,0.996,2.0217935299705017e-248,0,RPS13
4.5056420077340904e-245,0.33179241599580944,1,0.998,1.6491100312507544e-240,0,RPS3A
1.6476014433011661e-236,0.4161286297620297,1,0.998,6.030386042626598e-232,0,MALAT1
1.1023165673913791e-211,0.2690371345686495,1,0.999,4.034588868309187e-207,0,RPL30
2.4501225714275214e-203,0.526975798035267,0.98,0.893,8.967693623681871e-199,0,PABPC1
9.714939704010796e-186,0.4640423600071477,0.993,0.956,3.555765081064992e-181,0,BTG1
5.350838781746812e-183,0.3356109009849968,1,0.991,1.9584605025071508e-178,0,RPS5
7.416314639716934e-154,0.2540943722665334,1,0.999,2.714445321282795e-149,0,RPL32
7.568608021028785e-154,0.8467181073163612,0.374,0.167,2.7701862217767455e-149,0,SOCS3
1.7307708287141147e-150,0.8050450995404944,0.34,0.141,6.334794310176531e-146,0,AREG
4.12333889600658e-150,0.7725440635350486,0.353,0.152,1.5091832693273684e-145,0,ARRDC2
4.7788983591634307e-150,0.7021543596189905,0.664,0.414,1.7491245884374072e-145,0,FAM177A1
1.113892433839083e-147,0.7183377230173864,0.634,0.392,4.0769576970944277e-143,0,SLC2A3
4.544517937796258e-145,0.7431763012435959,0.516,0.284,1.6633390104128084e-140,0,CD55
8.709353111081209e-144,0.790563346932595,0.508,0.285,3.1877103321868334e-139,0,PRMT2
1.0456200629975474e-143,0.5220776266883158,0.93,0.861,3.827073992577323e-139,0,PNRC1
2.4308820726276618e-138,0.7422185696006427,0.43,0.216,8.897271474024504e-134,0,GPR183
1.0082603680649566e-123,0.6977017145700075,0.546,0.325,3.6903337731545474e-119,0,BTG2
3.7771466489868625e-119,0.2985418128203401,0.998,0.993,1.3824734449956815e-114,0,FTH1
7.365778224321502e-119,0.6440874024457939,0.608,0.373,2.695948487883913e-114,0,NR4A2
3.725384541077675e-112,0.6951507720646607,0.338,0.163,1.3635279958798398e-107,0,ALG13
1.5213321927820241e-111,0.6299903632225646,0.266,0.111,5.568227958801486e-107,0,ZEB1
8.854176731872096e-110,0.2701154172704614,0.999,0.987,3.240717225632506e-105,0,RPL9
8.785892381449602e-107,0.6067768115200094,0.919,0.865,3.215724470534369e-102,0,RPS26
1.4353339441147825e-106,0.6163487275174502,0.584,0.382,5.2534657688545155e-102,0,RELB
5.416235666013627e-94,0.43071765904354375,0.889,0.75,1.982396416117648e-89,0,LEPROTL1
