p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.7534125262325864,0.738,0.203,0,0,NKG7
0,1.384188995160149,0.399,0.121,0,0,CD8A
0,1.2903679605004084,0.729,0.398,0,0,CST7
0,1.2783616500696264,0.317,0.101,0,0,CD8B
0,1.234247528184766,0.636,0.323,0,0,LITAF
0,1.222879428767674,0.839,0.36,0,0,CCL5
0,1.142689832557627,0.431,0.158,0,0,GZMK
5.03215202234943e-256,1.115063142081113,0.375,0.169,1.841817961700115e-251,0,HLA-DRB1
1.9279953953988728e-244,0.557388723719833,0.831,0.637,7.056655946699414e-240,0,CD74
1.9208897510550577e-231,1.0370383837754167,0.309,0.13,7.030648577836617e-227,0,AKNA
1.331834114565966e-223,0.5623811931881599,0.874,0.721,4.874646042722892e-219,0,OAZ1
1.1522383224303791e-222,0.953139226243318,0.465,0.258,4.2173074839274306e-218,0,PIK3R1
2.9703726439428e-209,0.9317251575194538,0.376,0.187,1.0871860914095042e-204,0,GABARAPL1
1.7686826939403222e-197,0.44486469308455323,0.853,0.64,6.473555528090974e-193,0,DUSP2
3.645621863571442e-190,0.9800860127880182,0.309,0.143,1.3343340582857835e-185,0,HLA-DQB1
6.533403870519494e-179,0.4048331502663114,0.939,0.837,2.39129115064884e-174,0,SRGN
2.622593568156635e-176,0.61123441365375,0.721,0.562,9.5989547188101e-172,0,PTPRC
1.0433768675261974e-172,0.8149687129448471,0.562,0.375,3.818863672832635e-168,0,TUBA4A
9.057915884341094e-167,0.73348883004829,0.536,0.347,3.315287792827684e-162,0,CD7
1.412773732138483e-147,0.814740037710066,0.272,0.131,5.170893137000062e-143,0,SERPINB9
2.992673497012874e-143,0.8396327538919768,0.26,0.125,1.0953484266416819e-138,0,SH2D1A
7.979080100648781e-141,0.7879953578223804,0.331,0.179,2.9204231076384605e-136,0,FYN
1.0522218739722317e-138,0.5973400917549503,0.597,0.425,3.8512372809257652e-134,0,CXCR4
1.6439001369596216e-138,0.852154154686136,0.29,0.149,6.016838891285911e-134,0,CEMIP2
3.207869165994226e-135,0.7737894660811695,0.418,0.257,1.1741121934455468e-130,0,RUNX3
5.777042438482859e-135,0.45053475482387473,0.858,0.78,2.114455302909111e-130,0,HLA-A
7.6245494719662e-134,0.8324953697090518,0.273,0.139,2.790661352234349e-129,0,PRKCH
7.97099836149721e-132,0.32694911799311566,0.989,0.948,2.917465110291594e-127,0,TMSB4X
3.105498148490449e-130,0.7925666067528758,0.277,0.142,1.1366433773289893e-125,0,GZMM
1.5312819710518777e-125,0.7185321513374374,0.508,0.35,5.604645142246978e-121,0,BIRC3
3.165402766317068e-123,0.6223070640718045,0.483,0.318,1.1585690664997099e-118,0,CLEC2B
5.51171499748584e-113,0.5739672245392009,0.327,0.186,2.0173428062297925e-108,0,HLA-DPA1
1.0784291415283432e-112,0.5429588568862473,0.308,0.171,3.947158500907889e-108,0,HLA-DPB1
7.5022899104679875e-112,0.5650707963332797,0.303,0.163,2.745913130130388e-107,0,CTSW
2.668462323153902e-109,0.44850080404344217,0.673,0.514,9.766838948975596e-105,0,CREM
3.4092851611306105e-108,0.7102615263612833,0.3,0.17,1.2478324618254147e-103,0,VPS37B
2.302007953492389e-102,0.37377936225868424,0.821,0.729,8.425579310577492e-98,0,RPS26
9.433670898707275e-88,0.6314837811641885,0.354,0.231,3.4528178856358494e-83,0,FGFR1OP2
5.782926652371846e-84,0.6000376370196598,0.292,0.177,2.1166089840346197e-79,0,SYTL3
3.565695765685523e-80,0.5452466048181459,0.398,0.274,1.3050803071985582e-75,0,WIPF1
1.0068122367931348e-79,0.5555745905783938,0.411,0.288,3.6850334678865527e-75,0,TGFB1
9.773820053393252e-79,0.5568949382192354,0.379,0.258,3.577315877742464e-74,0,TNFRSF1B
7.087923266990103e-75,0.6134151828197965,0.299,0.191,2.5942507949510473e-70,0,SURF4
3.75870466480027e-72,0.5219894689647377,0.359,0.243,1.3757234943635468e-67,0,CLEC2D
4.946406937731545e-69,0.5681292240315452,0.332,0.225,1.8104344032791227e-64,0,ATP1B3
8.551473534400391e-68,0.5977495161277924,0.374,0.265,3.129924828325887e-63,0,FAM177A1
6.150036908804294e-67,0.2834247598453974,0.879,0.811,2.2509750089914595e-62,0,HLA-C
9.751580735300653e-66,0.5776262447389755,0.311,0.21,3.569176064927392e-61,0,SEPTIN7
2.6574751755591884e-64,0.346106263530908,0.764,0.677,9.726624890064185e-60,0,PNRC1
1.8097973649863646e-63,0.3427542723012671,0.714,0.625,6.624039335586593e-59,0,PABPC1
4.111975067751256e-61,0.5280742306474342,0.321,0.218,1.505023994547637e-56,0,CNOT6L
3.3518678029434276e-57,0.5090133056923944,0.444,0.348,1.226817134555324e-52,0,SRSF7
4.816240906998753e-57,0.5528792228989083,0.342,0.244,1.7627923343706136e-52,0,GNG2
3.941836251834239e-56,0.4487162285008064,0.476,0.377,1.4427514865338498e-51,0,CALM2
6.066195555712463e-56,0.48610319055498463,0.402,0.302,2.2202882353463184e-51,0,ISG20
4.514954935367598e-55,0.49119603820932345,0.318,0.221,1.6525186558938944e-50,0,RNF19A
2.9117221370411844e-54,0.5177165369137882,0.268,0.179,1.0657194193784439e-49,0,TAP1
1.7999649561208764e-52,0.2587395078050134,0.844,0.787,6.58805173589802e-48,0,RPL23A
5.0281862822326437e-51,0.44593692660960693,0.411,0.315,1.84036646115997e-46,0,STK17A
1.6397008403206104e-48,0.29500696938347293,0.648,0.559,6.001469045657466e-44,0,CD44
2.487567308416889e-48,0.45330540938180097,0.353,0.258,9.104745105536655e-44,0,MBP
3.6757107199387534e-48,0.4182694927759725,0.408,0.309,1.345346880604783e-43,0,JUND
1.2288846229883979e-45,0.3047479396169588,0.566,0.467,4.4978406085998353e-41,0,SELENOK
1.8174352032264487e-42,0.39027416257163416,0.386,0.3,6.651994587329125e-38,0,EMD
5.0126315036777354e-42,0.38468071521754377,0.453,0.363,1.834673256661088e-37,0,FLNA
6.670112908795294e-42,0.3575468072886845,0.493,0.403,2.4413280257481653e-37,0,LEPROTL1
2.5848323699093414e-41,0.2660109931320864,0.725,0.655,9.46074495710518e-37,0,RPL36AL
7.619864710536853e-39,0.4418608364461132,0.335,0.257,2.7889466827035934e-34,0,CDK2AP2
1.9154860675484293e-37,0.3097365085957584,0.576,0.5,7.010870555834007e-33,0,ATP6V0C
1.7295542652193048e-36,0.30078666946507715,0.492,0.408,6.330341566129178e-32,0,STK4
6.338931001039867e-36,0.40531745932067764,0.354,0.278,2.3201121356906017e-31,0,ARL6IP1
9.021864409396573e-36,0.41771003236337445,0.341,0.264,3.3020925924832395e-31,0,BAZ1A
1.002844007883986e-34,0.4391170752371121,0.301,0.23,3.6705093532561765e-30,0,PDIA3
2.82288069792572e-34,0.2946256743991351,0.554,0.48,1.0332025642477928e-29,0,YWHAZ
2.925631627870898e-34,0.33650029648491664,0.509,0.438,1.0708104321170274e-29,0,SKP1
2.3431513035901837e-33,0.38286554824368646,0.255,0.184,8.576168086270431e-29,0,SLC38A1
4.148318498302208e-32,0.39291016355102126,0.365,0.291,1.5183260535635913e-27,0,ITM2A
9.290686714644667e-31,0.25419795271978307,0.547,0.463,3.4004842444270944e-26,0,TPI1
2.572284185850581e-30,0.35027860560270785,0.38,0.306,9.414817348631711e-26,0,REL
2.915344077414002e-30,0.3959795826957493,0.317,0.249,1.0670450857742989e-25,0,MSN
9.377115414962713e-30,0.3773579632374364,0.37,0.302,3.432118013030503e-25,0,CALR
1.697507772615942e-29,0.35062640398931055,0.432,0.366,6.213048198551609e-25,0,JAK1
3.788785485363298e-29,0.31314634753538106,0.44,0.373,1.3867333754978208e-24,0,EML4
1.5173685196098131e-28,0.40895803812346854,0.317,0.25,5.553720518623877e-24,0,CLDND1
6.9107096659560765e-28,0.3747309290822123,0.287,0.223,2.5293888448365835e-23,0,AKAP13
2.309009020503708e-27,0.3739607494951598,0.316,0.25,8.451203915945622e-23,0,SRSF2
2.8298073497156752e-27,0.3641024230122354,0.296,0.232,1.0357377880694343e-22,0,ARID4B
5.2106411105661576e-27,0.29022480436608555,0.395,0.325,1.9071467528783194e-22,0,SMCHD1
7.356690866493343e-27,0.3206608299942957,0.305,0.236,2.6926224240452283e-22,0,GPR183
3.6478664599368057e-26,0.291631155874843,0.482,0.421,1.3351556030014702e-21,0,UBE2D3
6.234778210877878e-24,0.3319134006350457,0.3,0.238,2.281991172963412e-19,0,CDC42SE2
1.1874559964705935e-23,0.3174848461723223,0.405,0.342,4.346207692682019e-19,0,HSPA5
1.318135019503526e-23,0.34576641465083346,0.25,0.191,4.824505984884856e-19,0,SLC7A5
5.213256398587264e-23,0.25767948132605456,0.554,0.496,1.9081039744469247e-18,0,IFITM2
9.484659659414715e-23,0.3076558629564934,0.356,0.297,3.47148028194238e-18,0,FNBP1
1.0886563740657725e-21,0.29493128306047645,0.377,0.321,3.984591194718134e-17,0,NDUFS5
1.3189669394539322e-21,0.28339798000364436,0.447,0.392,4.8275508950953373e-17,0,SUB1
1.454658795754052e-19,0.3184658778482683,0.275,0.222,5.324196658339406e-15,0,HMGB2
1.3565589001052896e-18,0.33364662372497556,0.285,0.235,4.96514123027537e-14,0,HNRNPF
