p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.0434521569188773,0.292,0.056,0,0,XCL2
0,1.5775194987965926,0.7,0.244,0,0,NKG7
3.078743063240376e-252,1.2180980247836093,0.715,0.423,1.12685074857661e-247,0,CST7
2.8000500574716113e-219,0.8338046923399967,0.762,0.406,1.0248463215351845e-214,0,CCL5
7.714103718428645e-212,0.6333782291532151,0.993,0.936,2.8234391019820686e-207,0,MT-CO3
8.064347569457045e-152,0.5287144938828261,0.988,0.95,2.951631853896973e-147,0,MT-CYB
4.673268344164889e-141,1.0057318474342227,0.56,0.343,1.710462946647791e-136,0,LITAF
6.983044745791888e-137,1.0756809101151354,0.346,0.151,2.555864207407289e-132,0,CD8A
8.6372219157170535e-134,0.4233970091605608,0.998,0.986,3.161309593371599e-129,0,MT-CO2
2.57547617677122e-120,0.5541883652421769,0.845,0.658,9.426500354600342e-116,0,DUSP2
8.242743887704636e-117,0.6263641990119497,0.884,0.798,3.016926690338774e-112,0,MT-ND3
2.6462616372230957e-115,1.0210003428708148,0.462,0.271,9.685582218400253e-111,0,PIK3R1
1.3460667703320584e-114,0.37719337408329157,0.998,0.984,4.9267389860923667e-110,0,MT-CO1
2.0258394689725124e-111,0.6648084770194336,0.801,0.645,7.414775040386292e-107,0,CD74
1.1936406447372815e-107,0.46872047835446917,0.971,0.925,4.3688441238029243e-103,0,MT-ATP6
1.588182347983616e-95,0.43537872263862987,0.95,0.893,5.812906211854833e-91,0,MT-ND4L
1.525343660393772e-94,0.5474259228063829,0.847,0.73,5.582910331407245e-90,0,OAZ1
2.4222386190606722e-91,0.5111136424791045,0.899,0.832,8.865635569623966e-87,0,MT-ND1
1.2750944592597945e-89,0.7932281088071804,0.364,0.189,4.6669732303367736e-85,0,GZMK
2.5402856089170353e-80,0.955349970033722,0.266,0.127,9.297699357197241e-76,0,CD8B
6.750320563914081e-78,1.0081862604134841,0.27,0.137,2.4706848295981928e-73,0,SH2D1A
3.380313928480805e-72,0.28607983836250295,0.987,0.976,1.2372287009632595e-67,0,RPS15A
5.15294411100269e-69,0.4376581319861437,0.886,0.819,1.8860290740680944e-64,0,MT-ND4
1.9529926139899259e-66,0.36147634076583035,0.917,0.844,7.148148266464528e-62,0,SRGN
2.399279658982014e-62,0.8808220444137205,0.284,0.159,8.78160347984007e-58,0,CEMIP2
2.593603766335645e-62,0.8438553235842856,0.331,0.2,9.492849145165095e-58,0,GABARAPL1
1.8299662220176477e-57,0.8512281462462525,0.263,0.147,6.697859369206792e-53,0,AKNA
1.0993941833461002e-56,0.4240448656358078,0.839,0.777,4.023892650465061e-52,0,MT-ND2
5.348302507307858e-56,0.45420708790119413,0.803,0.732,1.957532200699749e-51,0,RPS26
2.9285220418625968e-55,0.8256335545099649,0.305,0.18,1.071868352542129e-50,0,HLA-DRB1
2.6407307338982964e-51,0.25802648666218886,0.982,0.949,9.665338559141154e-47,0,RPS14
6.069448978018699e-50,0.3655640796471893,0.896,0.871,2.2214790204446243e-45,0,FTL
2.69438033404478e-46,0.8699554622081231,0.252,0.152,9.8617014606373e-42,0,PRKCH
1.7012291449672198e-45,0.7808331750138677,0.375,0.268,6.226668793494521e-41,0,RUNX3
1.147852773431977e-44,0.5501944435472561,0.556,0.447,4.201255936038379e-40,0,CXCR4
5.074146768082432e-44,0.7719823584546144,0.276,0.171,1.857188458585851e-39,0,HLA-DPB1
2.721026857028549e-42,0.4503039826333688,0.633,0.527,9.959230399410192e-38,0,CREM
6.955963350742165e-38,0.2551998852698816,0.948,0.924,2.54595214600514e-33,0,RPS27
8.078663579654617e-38,0.7016504803004495,0.286,0.188,2.9568716567893865e-33,0,HLA-DPA1
1.302309363687125e-37,0.5741512632934636,0.467,0.361,4.766582502031246e-33,0,CD7
1.779128083215396e-37,0.7334149746869254,0.25,0.159,6.511786697376671e-33,0,GZMM
1.5143832051741036e-35,0.4813884064800016,0.574,0.483,5.542793969257737e-31,0,COTL1
3.29595663683007e-35,0.5771742879614639,0.425,0.328,1.2063530886461739e-30,0,CLEC2B
2.005421775364485e-34,0.7408335656715928,0.253,0.166,7.340044240011552e-30,0,PPP2R5C
