Cell_Type,Cell_Type_Full,Cell_Type_Alternate,Marker,Alternate_Name,Source,Species,Tissue_Type,Details,Notes
B,B_Cells,NA,BACH2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763431,NA
B,B_Cells,NA,BANK1,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,BANK1,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763432,NA
B,B_Cells,NA,BANK1,NA,Ira_Fleming,Human,Skin,NA,NA
B,B_Cells,NA,BCL11A,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763433,NA
B,B_Cells,NA,BLK,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763434,NA
B,B_Cells,NA,BLK,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,BLNK,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763435,NA
B,B_Cells,NA,BTLA,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763436,NA
B,B_Cells,NA,MME,CD10,Literature,Human,PBMC,10.1002/cyto.b.20547,NA
B,B_Cells,NA,MME,CD10,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,SDC1,CD138,Literature,Human,PBMC,10.1002/cyto.b.20550,NA
B,B_Cells,NA,CD19,NA,CellTypist,Human,"Blood, Eye, Intestine, Kidney, Liver, Lung, Trachea",CL:0000236,B lymphocytes with diverse cell surface immunoglobulin receptors recognising specific antigenic epitopes and mediating humoral immunity
B,B_Cells,NA,CD19,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763437,NA
B,B_Cells,NA,CD19,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
B,B_Cells,NA,CD19,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,CD22,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763438,NA
B,B_Cells,NA,CD27,NA,Literature,Human,PBMC,10.1002/cyto.b.20548,NA
B,B_Cells,NA,CD27,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,CD38,NA,Literature,Human,PBMC,10.1002/cyto.b.20549,NA
B,B_Cells,NA,CD38,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,CD72,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763439,NA
B,B_Cells,NA,CD74,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,CD79A,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,CD79A,NA,CellTypist,Human,"Blood, Eye, Intestine, Kidney, Liver, Lung, Trachea",CL:0000236,B lymphocytes with diverse cell surface immunoglobulin receptors recognising specific antigenic epitopes and mediating humoral immunity
B,B_Cells,NA,CD79A,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763440,NA
B,B_Cells,NA,CD79A,NA,HUSCH,Human,Blood,husch.comp-genomics.org/#/info_tissue/Blood,NA
B,B_Cells,NA,CD79A,NA,Ira_Fleming,Human,Skin,NA,NA
B,B_Cells,NA,CD79A,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,CD79A,NA,Literature,Human,Skin,doi.org/10.1101/689273,NA
B,B_Cells,NA,CD79B,NA,Azimuth,Human,NA,CL_0000785,Human PBMCs reference
B,B_Cells,NA,CD79B,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763441,NA
B,B_Cells,NA,CD79B,NA,Mary_Tomayko,Human,Skin,NA,NA
B,B_Cells,NA,CR2,CD21,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763442,NA
B,B_Cells,NA,EAF2,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763443,NA
B,B_Cells,NA,EZR,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763444,NA
B,B_Cells,NA,FAM3C,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763445,NA
B,B_Cells,NA,FCER2,CD23,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763446,NA
B,B_Cells,NA,FCMR,NA,GeneMarkeR,Human,Unknown,10.3389/fgene.2021.763447,NA
