p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4394205388041437,0.517,0.102,0,0,IL7R
0,2.212311501970671,0.437,0.059,0,0,SPOCK2
0,2.173912540665427,0.796,0.478,0,0,SARAF
0,2.052673956296155,0.59,0.182,0,0,PTPRC
0,1.9752580399901274,0.44,0.122,0,0,LEPROTL1
0,1.9339244345588076,0.35,0.061,0,0,LTB
0,1.8278267587260237,0.513,0.161,0,0,CYTIP
0,1.78314262258401,0.415,0.081,0,0,CD3E
0,1.755544411972433,0.661,0.289,0,0,ARHGDIB
0,1.7106402597384132,0.451,0.133,0,0,CD52
0,1.7009286119168998,0.426,0.146,0,0,CXCR4
0,1.6985038586781767,0.853,0.349,0,0,SRGN
0,1.6553496905512133,0.27,0.047,0,0,CLEC2D
0,1.6532275712193387,0.321,0.068,0,0,RHOH
0,1.6067705766392162,0.434,0.179,0,0,STK4
0,1.5680256197093287,0.548,0.287,0,0,CREM
0,1.5490041211730499,0.52,0.283,0,0,IL32
0,1.5091984757025618,0.276,0.052,0,0,CD3D
0,1.4935159728953955,0.35,0.176,0,0,SMCHD1
0,1.4893054063319795,0.33,0.105,0,0,IL2RG
0,1.4648098446345743,0.376,0.19,0,0,TUBA4A
0,1.438195530069783,0.294,0.12,0,0,ITM2A
0,1.3784623184655862,0.581,0.273,0,0,DUSP2
0,1.369352374628368,0.27,0.08,0,0,ALOX5AP
0,1.3682950010794204,0.352,0.262,0,0,NR3C1
0,1.352830470476787,0.389,0.25,0,0,EML4
0,1.347350771944317,0.281,0.109,0,0,FYB1
0,1.345737245630608,0.315,0.176,0,0,DUSP4
0,1.3419119265707269,0.595,0.393,0,0,EZR
0,1.3015145327980733,0.254,0.101,0,0,CDC42SE2
0,1.2962517177211423,0.321,0.099,0,0,CD7
0,1.2912450533183522,0.365,0.287,0,0,ANKRD12
0,1.288850787756122,0.341,0.131,0,0,RAC2
0,1.2559053085677712,0.643,0.482,0,0,FXYD5
0,1.2557625471842475,0.301,0.198,0,0,TGFB1
0,1.2394054621802353,0.395,0.177,0,0,CD37
0,1.2352779042599262,0.342,0.244,0,0,PPP1R2
0,1.1970383649548406,0.962,0.866,0,0,TMSB4X
0,1.1834585924377197,0.323,0.238,0,0,NSD3
0,1.17888529889497,0.421,0.294,0,0,RGCC
0,1.1766892659562014,0.285,0.171,0,0,STK17B
0,1.1332859176616104,0.275,0.167,0,0,WIPF1
0,1.1317989083889481,0.308,0.143,0,0,CORO1A
0,1.1238578228001288,0.274,0.164,0,0,MBP
0,1.1177835118450978,0.301,0.164,0,0,ISG20
0,1.0747686756478814,0.872,0.792,0,0,BTG1
0,1.0612698949951187,0.515,0.497,0,0,SOD1
0,1.0428999101738028,0.331,0.185,0,0,LCP1
0,1.0224554076206824,0.536,0.527,0,0,YWHAB
0,1.0190897705716662,0.913,0.87,0,0,RPS27
0,1.0167392719253547,0.41,0.338,0,0,TSC22D3
0,1.0074440474856807,0.324,0.146,0,0,CST7
0,1.0055719815114,0.434,0.234,0,0,LAPTM5
0,0.8910657478071053,0.983,0.957,0,0,RPL28
0,0.8799169089478056,0.994,0.976,0,0,MALAT1
0,0.8621958563138632,0.729,0.677,0,0,ZFP36L2
0,0.8374644555915391,0.266,0.166,0,0,TNFRSF1B
0,0.8181309811944657,0.272,0.165,0,0,GPR183
0,0.7994068525254279,0.782,0.74,0,0,HLA-A
0,0.7881550278923233,0.808,0.794,0,0,RPL21
0,0.7543322249616118,0.636,0.626,0,0,HINT1
0,0.7490962129413807,0.945,0.921,0,0,RPL34
0,0.7425739871480501,0.733,0.728,0,0,RPSA
0,0.7420509648860572,0.833,0.81,0,0,RPS16
0,0.7407283320958395,0.973,0.95,0,0,RPS15A
0,0.7381114631418644,0.971,0.951,0,0,RPS27A
0,0.7248654928488234,0.456,0.356,0,0,COTL1
0,0.7228611422833353,0.977,0.959,0,0,RPL30
0,0.716713536866254,0.86,0.839,0,0,RPLP2
0,0.7001982062311396,0.773,0.771,0,0,RPS21
0,0.6982017534016691,0.628,0.646,0,0,RPL13A
0,0.6978498375213684,0.963,0.945,0,0,RPS3
0,0.6880313973150916,0.984,0.976,0,0,RPS12
0,0.6834524861080435,0.877,0.871,0,0,RPS25
0,0.6770497034334508,0.776,0.771,0,0,RPL23A
0,0.6529407272238599,0.978,0.969,0,0,RPL13
0,0.6356573261425162,0.741,0.787,0,0,RPS26
0,0.6322142826974231,0.91,0.848,0,0,HLA-B
0,0.6137294418958357,0.933,0.921,0,0,RPL39
0,0.6121780606984961,0.945,0.934,0,0,RPS14
0,0.6112440324066712,0.81,0.832,0,0,MT-ND3
0,0.5950155254852847,0.991,0.986,0,0,RPL10
0,0.5913198079665785,0.988,0.975,0,0,B2M
0,0.5897239600018338,0.789,0.811,0,0,EEF1D
0,0.5895474864154959,0.643,0.694,0,0,RPL36AL
0,0.5840355273458933,0.872,0.861,0,0,RPS2
0,0.5834550885957643,0.945,0.928,0,0,FAU
0,0.5599801880097695,0.686,0.722,0,0,CALM1
0,0.5546063578939799,0.976,0.966,0,0,RPL19
0,0.5353459232445301,0.819,0.837,0,0,RPL37
0,0.5346750050727795,0.948,0.941,0,0,RPS19
0,0.5328571053134121,0.964,0.951,0,0,RPL18A
0,0.5271973771168694,0.961,0.952,0,0,RPS4X
0,0.5226188228414124,0.975,0.967,0,0,RPL11
0,0.516737799653721,0.948,0.943,0,0,MT-CO3
0,0.51141015745843,0.931,0.925,0,0,RPL14
0,0.509331224181591,0.971,0.966,0,0,RPL32
0,0.4972723473511138,0.819,0.841,0,0,RPL36
0,0.4897005389625182,0.914,0.918,0,0,RPS28
0,0.4861941603753541,0.988,0.985,0,0,RPL41
0,0.4719984082666464,0.955,0.948,0,0,RPS15
0,0.4468952020483652,0.947,0.938,0,0,PTMA
0,0.4441076914448674,0.889,0.897,0,0,RPL35A
0,0.4197402892678479,0.938,0.946,0,0,TPT1
0,0.41829775683774795,0.947,0.948,0,0,RPS18
0,0.41026889466202654,0.944,0.939,0,0,RPS7
0,0.39541161887640897,0.813,0.851,0,0,RPL17
0,0.37798895233044494,0.863,0.89,0,0,RPS6
0,0.3750107622019856,0.903,0.909,0,0,MT-ND4L
0,0.3748367838237341,0.96,0.958,0,0,MT-CYB
0,0.37396159684966523,0.846,0.871,0,0,RPL24
0,0.37040567385861234,0.989,0.986,0,0,RPLP1
0,0.3635829846219689,0.863,0.895,0,0,RPL3
0,0.3597090536852212,0.934,0.946,0,0,MT-ATP6
0,0.3520252321421733,0.925,0.934,0,0,RPL26
0,0.34264100711800793,0.941,0.94,0,0,RPL18
0,0.3371785341079949,0.986,0.987,0,0,EEF1A1
0,0.3324143924305032,0.948,0.949,0,0,RPS23
0,0.32105248465044944,0.935,0.941,0,0,RPS3A
0,0.3099580780559954,0.967,0.964,0,0,FTH1
2.2763636754088925e-302,0.39534389715756735,0.797,0.843,8.331718688364087e-298,0,RPL9
1.8300683831357867e-297,0.994807189739155,0.289,0.201,6.698233289115293e-293,0,STK17A
6.358577859106762e-283,0.46428373513714005,0.697,0.687,2.327303082211666e-278,0,SH3BGRL3
3.247149437476947e-282,0.9504811488542806,0.353,0.268,1.1884891656109373e-277,0,BIRC3
1.7545715190555494e-264,0.2727529120031953,0.9,0.923,6.421907216895216e-260,0,RPL6
3.3556660514786587e-258,0.9892117752535201,0.305,0.231,1.2282073315017038e-253,0,FNBP1
7.496524703600995e-250,0.6948112442207157,0.657,0.734,2.7438030067650004e-245,0,PABPC1
8.911017485706475e-232,0.3412122537121913,0.786,0.778,3.261521509943427e-227,0,HLA-C
1.2840826500476749e-229,0.41521425245326116,0.604,0.537,4.6998709074394947e-225,0,IFITM1
